Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-05-03,EGAD,Eaagads Ltd,10.35,14.5,12.0,12.0,12.0,12.0,,,,
2024-05-03,KUKZ,Kakuzi Plc,342.0,440.0,372.0,372.0,372.0,372.0,,,,
2024-05-03,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,228.75,228.75,228.75,228.75,,,,
2024-05-03,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-05-03,SASN,Sasini Plc,15.1,22.0,19.1,19.2,19.15,17.65,1.5,8.5,1100.0,
2024-05-03,WTK,Williamson Tea Kenya Plc,193.5,290.0,244.75,244.75,244.75,244.75,,,,
2024-05-03,CGEN,Car and General (K) Ltd,17.95,31.8,25.0,26.0,25.05,26.0,-0.95,3.65,2500.0,
2024-05-03,ABSA,ABSA Bank Kenya Plc,10.55,16.7,11.6,12.6,11.95,12.3,-0.35,2.85,154700.0,
2024-05-03,BKG,BK Group Plc,30.0,37.0,32.4,32.4,32.4,32.4,,,,
2024-05-03,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,12.0,12.65,12.2,12.0,0.2,1.67,126900.0,
2024-05-03,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,49.8,50.0,50.0,50.0,,,76600.0,
2024-05-03,EQTY,Equity Group Holdings Plc,33.6,51.0,42.3,43.0,42.55,42.6,-0.05,0.12,144300.0,
2024-05-03,HFCK,HF Group Ltd,3.02,4.9,3.74,3.8,3.74,3.8,-0.06,1.58,21400.0,
2024-05-03,IMH,I & M Holdings Plc,17.0,35.0,18.0,18.35,18.0,18.35,-0.35,1.91,62100.0,
2024-05-03,KCB,KCB Group Plc,15.75,40.0,29.3,29.65,29.5,29.3,0.2,0.68,284500.0,
2024-05-03,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-05-03,NCBA,NCBA Group Plc,34.05,47.0,38.5,40.0,39.35,42.75,-3.4,7.95,11300.0,
2024-05-03,SBIC,Stanbic Holdings Plc,100.0,134.0,118.0,125.75,118.5,121.75,-3.25,2.67,47600.0,
2024-05-03,SCBK,Standard Chartered Bank Kenya Ltd,148.0,236.0,168.0,173.0,171.5,170.25,1.25,0.73,16700.0,
2024-05-03,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-05-03,EVRD,Eveready East Africa Ltd,0.97,1.65,1.17,1.3,1.24,1.26,-0.02,1.59,6800.0,
2024-05-03,XPRS,Express Kenya Plc,2.74,3.99,3.14,3.14,3.14,3.15,-0.01,0.32,100.0,
2024-05-03,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-05-03,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-05-03,LKL,Longhorn Publishers Plc,2.02,2.65,2.3,2.4,2.39,2.4,-0.01,0.42,1000.0,
2024-05-03,NBV,Nairobi Business Ventures Ltd,1.85,2.9,2.04,2.3,2.1,2.1,,,284400.0,
2024-05-03,NMG,Nation Media Group Plc,14.0,22.4,20.0,20.0,20.0,20.0,,,23000.0,
2024-05-03,SMER,Sameer Africa Plc,1.87,2.75,2.24,2.25,2.25,2.06,0.19,9.22,22700.0,
2024-05-03,SGL,Standard Group Plc,4.86,9.0,6.3,6.3,6.3,6.74,-0.44,6.53,2400.0,
2024-05-03,TPSE,TPS Eastern Africa (Serena) Ltd,11.0,20.15,16.2,16.2,16.2,18.0,-1.8,10.0,100.0,
2024-05-03,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.17,0.19,0.17,0.18,-0.01,5.56,6800.0,
2024-05-03,SCAN,WPP ScanGroup Plc,1.86,2.94,2.12,2.21,2.2,2.22,-0.02,0.9,52000.0,
2024-05-03,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,,,,
2024-05-03,BAMB,Bamburi Cement Ltd,22.5,84.0,48.05,49.0,48.95,48.35,0.6,1.24,9900.0,
2024-05-03,CRWN,Crown Paints Kenya Plc,29.0,40.05,36.0,39.0,38.25,36.15,2.1,5.81,400.0,
2024-05-03,CABL,East African Cables Plc,0.79,1.11,0.9,1.0,0.91,0.99,-0.08,8.08,3600.0,
2024-05-03,PORT,East African Portland Cement Ltd,4.38,55.75,6.5,7.3,6.9,6.66,0.24,3.6,400.0,
2024-05-03,KEGN,Kenya Electricity Generating Company Plc,1.94,4.6,2.25,2.33,2.27,2.31,-0.04,1.73,473400.0,
2024-05-03,KPLC-P4,KPLC-P4,4.0,4.11,4.0,4.0,4.0,4.0,,,,
2024-05-03,KPLC-P7,KPLC-P7,6.0,6.0,6.0,6.0,6.0,6.0,,,,
2024-05-03,KPLC,Kenya Power and Lighting Company Plc,1.3,6.0,1.56,1.6,1.57,1.57,,,166000.0,
2024-05-03,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25.0,19.1,21.35,21.0,21.1,-0.1,0.47,5000.0,
2024-05-03,UMME,Umeme Ltd,13.0,17.9,16.0,16.0,16.0,15.7,0.3,1.91,2300.0,
2024-05-03,BRIT,Britam Holdings Plc,4.25,6.5,5.2,5.96,5.82,5.42,0.4,7.38,26500.0,
2024-05-03,CIC,CIC Insurance Group Ltd,1.93,2.5,2.1,2.35,2.15,2.27,-0.12,5.29,41300.0,
2024-05-03,JUB,Jubilee Holdings Ltd,150.0,202.0,181.0,187.0,182.0,187.0,-5.0,2.67,3800.0,
2024-05-03,KNRE,Kenya Re-Insurance Corporation Ltd,1.0,3.0,1.9,1.94,1.91,1.93,-0.02,1.04,42600.0,
2024-05-03,LBTY,Liberty Kenya Holdings Ltd,3.5,8.24,5.26,5.5,5.46,5.3,0.16,3.02,3900.0,
2024-05-03,SLAM,Sanlam Kenya Plc,5.5,7.7,6.52,6.52,6.52,6.34,0.18,2.84,100.0,
2024-05-03,CTUM,Centum Investment Company Plc,7.62,10.4,8.0,8.98,8.46,8.86,-0.4,4.51,49200.0,
2024-05-03,HAFR,Home Afrika Ltd,0.27,0.42,0.3,0.36,0.31,0.33,-0.02,6.06,29200.0,
2024-05-03,KURV,Kurwitu Ventures Ltd,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,
2024-05-03,OCH,Olympia Capital Holdings Ltd,2.58,4.0,2.58,2.58,2.58,2.62,-0.04,1.53,216900.0,
2024-05-03,TCL,Trans-Century Plc,0.29,0.72,0.59,0.6,0.6,0.6,,,64000.0,
2024-05-03,NSE,Nairobi Securities Exchange Plc,5.22,6.8,5.9,6.0,5.98,5.94,0.04,0.67,3500.0,
2024-05-03,BOC,BOC Kenya Plc,67.0,96.0,80.75,80.75,80.75,80.75,,,,
2024-05-03,BAT,British American Tobacco Kenya Plc,325.0,455.0,408.0,410.0,409.5,409.25,0.25,0.06,5000.0,
2024-05-03,CARB,Carbacid Investments Plc,14.05,24.5,17.0,17.5,17.25,16.5,0.75,4.55,2200.0,
2024-05-03,EABL,East African Breweries Ltd,99.0,204.0,147.0,158.0,152.25,147.0,5.25,3.57,87200.0,
2024-05-03,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.14,1.25,1.18,1.14,0.04,3.51,900.0,
2024-05-03,ORCH,Kenya Orchards Ltd,19.0,77.0,19.5,19.5,19.5,19.5,,,,
2024-05-03,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-05-03,UNGA,Unga Group Ltd,11.05,18.45,13.5,13.5,13.5,13.5,,,2200.0,
2024-05-03,SCOM,Safaricom Plc,12.15,21.15,15.85,16.0,15.95,16.0,-0.05,0.31,1483800.0,
2024-05-03,LAPR,Laptrust Imara Income-REIT,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-05-03,GLD,ABSA NewGold ETF,2625.0,3330.0,2920.0,2920.0,2920.0,2920.0,,,,
2024-05-03,^N10I,NSE 10-Share Index,874.34,1243.88,1074.55,1074.55,1074.55,1077.82,-3.27,0.3,,
2024-05-03,^N20I,NSE 20-Share Index,1416.32,1942.74,1647.8,1647.8,1647.8,1659.45,-11.65,0.7,,
2024-05-03,^N25I,NSE 25-Share Index,2281.58,3205.82,2762.13,2762.13,2762.13,2776.42,-14.29,0.51,,
2024-05-03,^NASI,NSE All-Share Index,86.41,119.33,104.64,104.64,104.64,104.9,-0.26,0.25,,
2024-05-03,^NBDI,NSE Bonds Index,986.46,1042.42,998.36,998.36,998.36,1002.48,-4.12,0.41,,
2024-05-03,^ZKEQTK,Zamara Kenya Equity Index (KES),1497.8,2397.65,1940.38,1940.38,1940.38,1931.36,9.02,0.47,,
2024-05-03,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,1599.72,1242.13,1242.13,1242.13,1231.78,10.35,0.84,,
